enu_low,enu_high,enu_center,local_cv,local_unweighted,local_cv_over_unweighted,paper_cv,paper_over_local
12.0,12.5,12.25,3.5376572379594124e-06,3.098276128578115e-06,1.141814703127491,3.189013e-06,0.901447705498875
12.5,13.0,12.75,3.01680197748236e-06,2.586581137940503e-06,1.1663279891866873,2.716215e-06,0.9003623772040843
13.0,13.5,13.25,2.6075118325434497e-06,2.2020066317626433e-06,1.1841525792573164,2.348563e-06,0.9006912147773983
13.5,14.0,13.75,2.3231020175595083e-06,1.9423631409643914e-06,1.196018380170702,2.09359e-06,0.9012045033645927
14.0,14.5,14.25,2.0650795924208153e-06,1.712155943932704e-06,1.2061282149787536,1.860413e-06,0.9008916686930732
14.5,15.0,14.75,1.851120962337041e-06,1.5163271847207957e-06,1.2207925710161895,1.675042e-06,0.9048798182725233
15.0,15.5,15.25,1.703297714439164e-06,1.3874215288743413e-06,1.2276713882486046,1.539685e-06,0.9039435601585153
15.5,16.0,15.75,1.5494513088607406e-06,1.2590239827328278e-06,1.2306765638391681,1.401567e-06,0.9045569821942485
16.0,16.5,16.25,1.4269332838062383e-06,1.1649951491491074e-06,1.224840536759699,1.287819e-06,0.9025082073668075
16.5,17.0,16.75,1.2891103226428523e-06,1.053286900613265e-06,1.2238928651749885,1.168401e-06,0.9063623023393516
17.0,17.5,17.25,1.2317234599426296e-06,1.0033248644961535e-06,1.2276417175818448,1.120298e-06,0.9095369508121414
17.5,18.0,17.75,1.1381520946464405e-06,9.29391474564674e-07,1.2246207607828012,1.035305e-06,0.9096367742675118
18.0,18.5,18.25,1.050716364279068e-06,8.639056698383321e-07,1.2162396902380497,9.572781e-07,0.9110718482592788
18.5,19.0,18.75,9.777899247037642e-07,8.117509037071002e-07,1.204544300768127,8.930668e-07,0.9133524261569455
19.0,19.5,19.25,9.14929346280042e-07,7.61755564225783e-07,1.2010799648177675,8.352135e-07,0.9128721287560029
