bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
709235	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	1f5ad136e57c497d10e3104c7a93de3a814fe439	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1A/p3f_pet_validation_MuonResolution_1_1A.json.domain.json
703654	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	19e384925fd10570e542c133b212cb3661665d4c	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1A/p3f_pet_validation_Muon_Energy_MINOS_0_1A.json.domain.json
407269	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	d991d2d6d51e5da24fa2b7e7ee46ce983c69528b	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1P/p3f_pet_validation_Muon_Energy_MINOS_1_1P.json.domain.json
405146	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	14151e9c42d7d3e40d3cbdd97e577d0f983a5332	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1P/p3f_pet_validation_MuonResolution_0_1P.json.domain.json
404031	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	87a686e799918ae0603ba10eda6c9c477ec29508	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1P/p3f_pet_validation_Muon_Energy_MINERvA_1_1P.json.domain.json
403622	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	fe7ef92d6ef1c7e38f864466c2a3d304f55a1be2	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1P/p3f_pet_validation_Muon_Energy_MINERvA_0_1P.json.domain.json
403604	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	55bee64d3598f89793290b106183db6fd1e50edd	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1P/p3f_pet_validation_BeamAngleY_1_1P.json.domain.json
403573	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	624ef7dc5a9e70ae8a32579d39cbf98051f0ee3e	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1P/p3f_pet_validation_BeamAngleX_1_1P.json.domain.json
403267	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	015e97a0ebcdc0074de6a80ef75c8f11a341da1c	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1P/p3f_pet_validation_BeamAngleY_0_1P.json.domain.json
403184	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	ff985da952839d9dc557b2ff220bc48863ccfaa2	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1P/p3f_pet_validation_MuonResolution_1_1P.json.domain.json
