pt_low,pt_high,paper_pt_low,paper_pt_high,pz_low,pz_high,reported,ours,published,ratio
1.25,1.5,1.25,1.5,2.5,3.0,False,0.0,0.0,nan
1.25,1.5,1.25,1.5,3.0,3.5,True,2.0873374382039809e-41,2.2227172688645027e-41,0.9390926445945678
1.25,1.5,1.25,1.5,3.5,4.0,True,1.1483409897998503e-39,1.2328235920069627e-39,0.9314722700353424
1.25,1.5,1.25,1.5,4.0,4.5,True,1.8070425712421704e-39,1.872354506859142e-39,0.9651177512710818
1.25,1.5,1.25,1.5,4.5,5.0,True,1.5307349413334418e-39,1.511092361913278e-39,1.0129989270776891
1.25,1.5,1.25,1.5,5.0,6.0,True,1.0832748666739148e-39,1.0533662260525342e-39,1.0283933924229398
1.25,1.5,1.25,1.5,6.0,7.0,True,6.463738983724455e-40,6.467423738515085e-40,0.9994302592593886
1.25,1.5,1.25,1.5,7.0,8.0,True,4.024013627313075e-40,4.091333872845277e-40,0.9835456485282184
1.25,1.5,1.25,1.5,8.0,9.0,True,2.885216760523851e-40,2.84383621144869e-40,1.014550960744002
1.25,1.5,1.25,1.5,9.0,10.0,True,2.2173320936599806e-40,2.206920728343681e-40,1.0047175982275147
1.25,1.5,1.25,1.5,10.0,15.0,True,1.3418098784827915e-40,1.2963896565290208e-40,1.035035933621516
1.25,1.5,1.25,1.5,15.0,20.0,True,6.67845461864299e-41,6.418029017386803e-41,1.0405771928657037
1.25,1.5,1.25,1.5,20.0,40.0,True,2.027711399137555e-41,1.8483864755533422e-41,1.0970170069711904
1.25,1.5,1.25,1.5,40.0,60.0,True,3.548352616376705e-42,3.243727566610305e-42,1.093912032842121
1.5,2.5,1.5,2.5,1.5,2.0,False,0.0,0.0,nan
1.5,2.5,1.5,2.5,2.0,2.5,False,0.0,0.0,nan
1.5,2.5,1.5,2.5,2.5,3.0,False,0.0,0.0,nan
1.5,2.5,1.5,2.5,3.0,3.5,False,0.0,0.0,nan
